date,total_pnl_mean,total_pnl_std,num_trades_mean,num_trades_std,sentiment_value_mean,sentiment_value_std,total_volume_mean,total_volume_std
2023-03-28,,,,,,,,
2023-11-14,,,,,,,,
2024-03-09,,,,,,,,
2024-07-03,,,,,,,,
2024-10-27,,,,,,,,
2025-02-19,,,,,,,,
2025-06-15,,,,,,,,
